meal_id;type;dt;price
1;french;2013-01-01;10
2;chinese;2013-01-01;13
3;mexican;2013-01-02;9
4;italian;2013-01-03;9
5;chinese;2013-01-03;12
6;italian;2013-01-03;9
7;italian;2013-01-03;10
8;french;2013-01-03;14
9;italian;2013-01-03;13
10;french;2013-01-03;7
11;italian;2013-01-03;7
12;mexican;2013-01-03;12
13;italian;2013-01-03;8
14;chinese;2013-01-04;8
15;italian;2013-01-04;11
16;italian;2013-01-04;15
17;french;2013-01-04;15
18;french;2013-01-04;9
19;japanese;2013-01-04;11
20;italian;2013-01-04;7
21;vietnamese;2013-01-04;12
22;italian;2013-01-04;12
23;mexican;2013-01-04;12
24;japanese;2013-01-05;11
25;chinese;2013-01-05;11
26;italian;2013-01-05;9
27;italian;2013-01-05;14
28;italian;2013-01-05;10
29;italian;2013-01-05;15
30;french;2013-01-05;9
31;italian;2013-01-05;15
32;chinese;2013-01-05;10
33;vietnamese;2013-01-06;12
34;french;2013-01-07;16
35;italian;2013-01-07;8
36;french;2013-01-07;11
37;chinese;2013-01-07;13
38;french;2013-01-07;12
39;french;2013-01-07;15
40;japanese;2013-01-07;13
41;italian;2013-01-08;7
42;italian;2013-01-08;10
43;italian;2013-01-08;10
44;french;2013-01-08;13
45;mexican;2013-01-09;10
46;japanese;2013-01-09;6
47;french;2013-01-09;13
48;chinese;2013-01-09;9
49;chinese;2013-01-09;12
50;japanese;2013-01-10;7
51;italian;2013-01-10;13
52;italian;2013-01-10;11
53;italian;2013-01-10;8
54;italian;2013-01-11;14
55;italian;2013-01-11;13
56;french;2013-01-11;13
57;mexican;2013-01-11;8
58;italian;2013-01-11;9
59;french;2013-01-11;9
60;french;2013-01-12;7
61;mexican;2013-01-12;13
62;mexican;2013-01-12;8
63;italian;2013-01-12;10
64;french;2013-01-12;15
65;italian;2013-01-12;11
66;italian;2013-01-12;13
67;french;2013-01-12;9
68;italian;2013-01-13;8
69;italian;2013-01-14;13
70;japanese;2013-01-14;12
71;french;2013-01-14;9
72;french;2013-01-14;16
73;italian;2013-01-15;9
74;french;2013-01-15;8
75;vietnamese;2013-01-15;11
76;mexican;2013-01-15;13
77;italian;2013-01-15;13
78;french;2013-01-15;10
79;mexican;2013-01-15;13
80;italian;2013-01-16;11
81;italian;2013-01-16;7
82;japanese;2013-01-16;10
83;mexican;2013-01-16;11
84;chinese;2013-01-16;8
85;mexican;2013-01-16;12
86;italian;2013-01-16;12
87;french;2013-01-16;11
88;french;2013-01-17;10
89;french;2013-01-17;16
90;french;2013-01-17;11
91;italian;2013-01-17;13
92;french;2013-01-17;7
93;italian;2013-01-17;11
94;italian;2013-01-17;9
95;mexican;2013-01-17;11
96;mexican;2013-01-17;12
97;japanese;2013-01-17;6
98;vietnamese;2013-01-18;6
99;mexican;2013-01-18;8
100;chinese;2013-01-18;13
101;french;2013-01-18;16
102;mexican;2013-01-18;11
103;italian;2013-01-18;9
104;mexican;2013-01-18;13
105;french;2013-01-18;12
106;french;2013-01-18;12
107;french;2013-01-18;12
108;french;2013-01-19;11
109;japanese;2013-01-20;12
110;french;2013-01-20;11
111;italian;2013-01-20;15
112;mexican;2013-01-21;13
113;japanese;2013-01-21;10
114;french;2013-01-21;12
115;italian;2013-01-22;14
116;mexican;2013-01-22;13
117;italian;2013-01-22;10
118;japanese;2013-01-22;8
119;italian;2013-01-23;12
120;italian;2013-01-23;8
